UNIT FILE                                      STATE           PRESET
proc-sys-fs-binfmt_misc.automount              static          -
-.mount                                        generated       -
dev-hugepages.mount                            static          -
dev-mqueue.mount                               static          -
proc-sys-fs-binfmt_misc.mount                  disabled        disabled
snap-bare-5.mount                              enabled         enabled
snap-core22-2045.mount                         enabled         enabled
snap-firefox-6565.mount                        enabled         enabled
snap-firefox-7355.mount                        enabled         enabled
snap-firmware\x2dupdater-167.mount             enabled         enabled
snap-firmware\x2dupdater-210.mount             enabled         enabled
snap-gnome\x2d42\x2d2204-202.mount             enabled         enabled
snap-gtk\x2dcommon\x2dthemes-1535.mount        enabled         enabled
snap-snap\x2dstore-1270.mount                  enabled         enabled
snap-snapd-24792.mount                         enabled         enabled
snap-snapd-25577.mount                         enabled         enabled
snap-snapd\x2ddesktop\x2dintegration-315.mount enabled         enabled
sys-fs-fuse-connections.mount                  static          -
sys-kernel-config.mount                        static          -
sys-kernel-debug.mount                         static          -
sys-kernel-tracing.mount                       static          -
apport-autoreport.path                         enabled         enabled
cups.path                                      enabled         enabled
systemd-ask-password-console.path              static          -
systemd-ask-password-plymouth.path             static          -
systemd-ask-password-wall.path                 static          -
tpm-udev.path                                  enabled         enabled
whoopsie.path                                  enabled         enabled
session-2.scope                                transient       -
session-27.scope                               transient       -
accounts-daemon.service                        enabled         enabled
alsa-restore.service                           static          -
alsa-state.service                             static          -
alsa-utils.service                             masked          enabled
anacron.service                                enabled         enabled
apache-htcacheclean.service                    disabled        enabled
apache-htcacheclean@.service                   disabled        enabled
apache2.service                                enabled         enabled
apache2@.service                               disabled        enabled
apparmor.service                               enabled         enabled
apport-autoreport.service                      static          -
apport-coredump-hook@.service                  static          -
apport-forward@.service                        static          -
apport.service                                 enabled         enabled
apt-daily-upgrade.service                      static          -
apt-daily.service                              static          -
apt-news.service                               static          -
autovt@.service                                alias           -
avahi-daemon.service                           enabled         enabled
bluetooth.service                              enabled         enabled
bolt.service                                   static          -
brltty-udev.service                            static          -
brltty.service                                 disabled        enabled
cloud-config.service                           enabled         enabled
cloud-final.service                            enabled         enabled
cloud-init-hotplugd.service                    static          -
cloud-init-local.service                       enabled         enabled
cloud-init.service                             enabled         enabled
colord.service                                 static          -
configure-printer@.service                     static          -
console-getty.service                          disabled        disabled
console-setup.service                          enabled         enabled
container-getty@.service                       static          -
cron.service                                   enabled         enabled
cryptdisks-early.service                       masked          enabled
cryptdisks.service                             masked          enabled
cups-browsed.service                           enabled         enabled
cups.service                                   enabled         enabled
dbus-fi.w1.wpa_supplicant1.service             alias           -
dbus-org.bluez.service                         alias           -
dbus-org.freedesktop.Avahi.service             alias           -
dbus-org.freedesktop.hostname1.service         alias           -
dbus-org.freedesktop.locale1.service           alias           -
dbus-org.freedesktop.login1.service            alias           -
dbus-org.freedesktop.ModemManager1.service     alias           -
dbus-org.freedesktop.nm-dispatcher.service     alias           -
dbus-org.freedesktop.oom1.service              alias           -
dbus-org.freedesktop.resolve1.service          alias           -
dbus-org.freedesktop.thermald.service          alias           -
dbus-org.freedesktop.timedate1.service         alias           -
dbus-org.freedesktop.timesync1.service         alias           -
dbus.service                                   static          -
debug-shell.service                            disabled        disabled
display-manager.service                        alias           -
dmesg.service                                  enabled         enabled
dpkg-db-backup.service                         static          -
e2scrub@.service                               static          -
e2scrub_all.service                            static          -
e2scrub_fail@.service                          static          -
e2scrub_reap.service                           enabled         enabled
emergency.service                              static          -
esm-cache.service                              static          -
fprintd.service                                static          -
friendly-recovery.service                      static          -
fstrim.service                                 static          -
fwupd-offline-update.service                   static          -
fwupd-refresh.service                          static          -
fwupd.service                                  static          -
gdm.service                                    static          -
gdm3.service                                   alias           -
geoclue.service                                static          -
getty-static.service                           static          -
getty@.service                                 enabled         enabled
gnome-remote-desktop.service                   enabled         enabled
gpu-manager.service                            enabled         enabled
grub-common.service                            enabled         enabled
grub-initrd-fallback.service                   enabled         enabled
hwclock.service                                masked          enabled
iio-sensor-proxy.service                       static          -
initrd-cleanup.service                         static          -
initrd-parse-etc.service                       static          -
initrd-switch-root.service                     static          -
initrd-udevadm-cleanup-db.service              static          -
intel-firmware.service                         enabled         enabled
ipp-usb.service                                static          -
kerneloops.service                             enabled         enabled
keyboard-setup.service                         enabled         enabled
kmod-static-nodes.service                      static          -
kmod.service                                   alias           -
ldconfig.service                               static          -
logrotate.service                              static          -
man-db.service                                 static          -
ModemManager.service                           enabled         enabled
modprobe@.service                              static          -
motd-news.service                              static          -
netplan-ovs-cleanup.service                    enabled-runtime enabled
networkd-dispatcher.service                    enabled         enabled
NetworkManager-dispatcher.service              enabled         enabled
NetworkManager-wait-online.service             enabled         enabled
NetworkManager.service                         enabled         enabled
nftables.service                               disabled        enabled
nm-priv-helper.service                         static          -
openvpn-client@.service                        disabled        enabled
openvpn-server@.service                        disabled        enabled
openvpn.service                                enabled         enabled
openvpn@.service                               disabled        enabled
packagekit-offline-update.service              static          -
packagekit.service                             static          -
pam_namespace.service                          static          -
php8.3-fpm.service                             enabled         enabled
phpsessionclean.service                        static          -
plymouth-halt.service                          static          -
plymouth-kexec.service                         static          -
plymouth-log.service                           alias           -
plymouth-poweroff.service                      static          -
plymouth-quit-wait.service                     static          -
plymouth-quit.service                          static          -
plymouth-read-write.service                    static          -
plymouth-reboot.service                        static          -
plymouth-start.service                         static          -
plymouth-switch-root-initramfs.service         static          -
plymouth-switch-root.service                   static          -
plymouth.service                               alias           -
polkit.service                                 static          -
power-profiles-daemon.service                  enabled         enabled
procps.service                                 alias           -
quotaon.service                                static          -
rc-local.service                               static          -
rescue.service                                 static          -
rsync.service                                  disabled        enabled
rsyslog.service                                enabled         enabled
rtkit-daemon.service                           disabled        enabled
saned.service                                  masked          enabled
saned@.service                                 indirect        enabled
secureboot-db.service                          enabled         enabled
serial-getty@.service                          disabled        enabled
setvtrgb.service                               enabled         enabled
snapd.apparmor.service                         enabled         enabled
snapd.autoimport.service                       enabled         enabled
snapd.core-fixup.service                       enabled         enabled
snapd.failure.service                          static          -
snapd.recovery-chooser-trigger.service         enabled         enabled
snapd.seeded.service                           enabled         enabled
snapd.service                                  enabled         enabled
snapd.snap-repair.service                      static          -
snapd.system-shutdown.service                  enabled         enabled
speech-dispatcher.service                      generated       -
speech-dispatcherd.service                     disabled        enabled
spice-vdagent.service                          alias           -
spice-vdagentd.service                         indirect        enabled
ssl-cert.service                               enabled         enabled
sssd-autofs.service                            indirect        enabled
sssd-nss.service                               indirect        enabled
sssd-pac.service                               indirect        enabled
sssd-pam.service                               indirect        enabled
sssd-ssh.service                               indirect        enabled
sssd-sudo.service                              indirect        enabled
sssd.service                                   enabled         enabled
sudo.service                                   masked          enabled
switcheroo-control.service                     enabled         enabled
syslog.service                                 alias           -
sysstat-collect.service                        static          -
sysstat-summary.service                        static          -
sysstat.service                                enabled         enabled
system-update-cleanup.service                  static          -
systemd-ask-password-console.service           static          -
systemd-ask-password-plymouth.service          static          -
systemd-ask-password-wall.service              static          -
systemd-backlight@.service                     static          -
systemd-battery-check.service                  static          -
systemd-binfmt.service                         static          -
systemd-boot-check-no-failures.service         disabled        disabled
systemd-bsod.service                           static          -
systemd-confext.service                        disabled        enabled
systemd-exit.service                           static          -
systemd-firstboot.service                      static          -
systemd-fsck-root.service                      enabled-runtime enabled
systemd-fsck@.service                          static          -
systemd-fsckd.service                          static          -
systemd-growfs-root.service                    static          -
systemd-growfs@.service                        static          -
systemd-halt.service                           static          -
systemd-hibernate-resume.service               static          -
systemd-hibernate.service                      static          -
systemd-hostnamed.service                      static          -
systemd-hwdb-update.service                    static          -
systemd-hybrid-sleep.service                   static          -
systemd-initctl.service                        static          -
systemd-journal-catalog-update.service         static          -
systemd-journal-flush.service                  static          -
systemd-journald.service                       static          -
systemd-journald@.service                      static          -
systemd-kexec.service                          static          -
systemd-localed.service                        static          -
systemd-logind.service                         static          -
systemd-machine-id-commit.service              static          -
systemd-modules-load.service                   static          -
systemd-network-generator.service              disabled        enabled
systemd-networkd-wait-online.service           disabled        enabled
systemd-networkd-wait-online@.service          disabled        enabled
systemd-networkd.service                       disabled        enabled
systemd-oomd.service                           enabled         enabled
systemd-pcrextend@.service                     static          -
systemd-pcrfs-root.service                     static          -
systemd-pcrfs@.service                         static          -
systemd-pcrlock-file-system.service            disabled        enabled
systemd-pcrlock-firmware-code.service          disabled        enabled
systemd-pcrlock-firmware-config.service        disabled        enabled
systemd-pcrlock-machine-id.service             disabled        enabled
systemd-pcrlock-make-policy.service            disabled        enabled
systemd-pcrlock-secureboot-authority.service   disabled        enabled
systemd-pcrlock-secureboot-policy.service      disabled        enabled
systemd-pcrmachine.service                     static          -
systemd-pcrphase-initrd.service                static          -
systemd-pcrphase-sysinit.service               static          -
systemd-pcrphase.service                       static          -
systemd-poweroff.service                       static          -
systemd-pstore.service                         enabled         enabled
systemd-quotacheck.service                     static          -
systemd-random-seed.service                    static          -
systemd-reboot.service                         static          -
systemd-remount-fs.service                     enabled-runtime enabled
systemd-repart.service                         static          -
systemd-resolved.service                       enabled         enabled
systemd-rfkill.service                         static          -
systemd-soft-reboot.service                    static          -
systemd-storagetm.service                      static          -
systemd-suspend-then-hibernate.service         static          -
systemd-suspend.service                        static          -
systemd-sysctl.service                         static          -
systemd-sysext.service                         disabled        enabled
systemd-sysext@.service                        static          -
systemd-sysupdate-reboot.service               indirect        enabled
systemd-sysupdate.service                      indirect        enabled
systemd-sysusers.service                       static          -
systemd-time-wait-sync.service                 disabled        disabled
systemd-timedated.service                      static          -
systemd-timesyncd.service                      enabled         enabled
systemd-tmpfiles-clean.service                 static          -
systemd-tmpfiles-setup-dev-early.service       static          -
systemd-tmpfiles-setup-dev.service             static          -
systemd-tmpfiles-setup.service                 static          -
systemd-tpm2-setup-early.service               static          -
systemd-tpm2-setup.service                     static          -
systemd-udev-settle.service                    static          -
systemd-udev-trigger.service                   static          -
systemd-udevd.service                          static          -
systemd-update-done.service                    static          -
systemd-update-utmp-runlevel.service           static          -
systemd-update-utmp.service                    static          -
systemd-user-sessions.service                  static          -
systemd-volatile-root.service                  static          -
thermald.service                               enabled         enabled
tpm-udev.service                               static          -
ua-reboot-cmds.service                         enabled         enabled
ua-timer.service                               static          -
ubuntu-advantage-desktop-daemon.service        static          -
ubuntu-advantage.service                       enabled         enabled
udev.service                                   alias           -
udisks2.service                                enabled         enabled
ufw.service                                    enabled         enabled
unattended-upgrades.service                    enabled         enabled
update-notifier-download.service               static          -
update-notifier-motd.service                   static          -
upower.service                                 disabled        enabled
usb_modeswitch@.service                        static          -
usbmuxd.service                                static          -
user-runtime-dir@.service                      static          -
user@.service                                  static          -
uuidd.service                                  indirect        enabled
virtualbox-guest-utils.service                 enabled         enabled
wacom-inputattach@.service                     static          -
whoopsie.service                               static          -
wpa_supplicant-nl80211@.service                disabled        enabled
wpa_supplicant-wired@.service                  disabled        enabled
wpa_supplicant.service                         enabled         enabled
wpa_supplicant@.service                        disabled        enabled
x11-common.service                             masked          enabled
machine.slice                                  static          -
system-systemd\x2dcryptsetup.slice             static          -
system-systemd\x2dveritysetup.slice            static          -
user.slice                                     static          -
apport-forward.socket                          enabled         enabled
avahi-daemon.socket                            enabled         enabled
cloud-init-hotplugd.socket                     enabled         enabled
cups.socket                                    enabled         enabled
dbus.socket                                    static          -
saned.socket                                   disabled        enabled
snapd.socket                                   enabled         enabled
spice-vdagentd.socket                          static          -
sssd-autofs.socket                             enabled         enabled
sssd-nss.socket                                enabled         enabled
sssd-pac.socket                                enabled         enabled
sssd-pam-priv.socket                           enabled         enabled
sssd-pam.socket                                enabled         enabled
sssd-ssh.socket                                enabled         enabled
sssd-sudo.socket                               enabled         enabled
syslog.socket                                  static          -
systemd-fsckd.socket                           static          -
systemd-initctl.socket                         static          -
systemd-journald-audit.socket                  disabled        enabled
systemd-journald-dev-log.socket                static          -
systemd-journald-varlink@.socket               static          -
systemd-journald.socket                        static          -
systemd-journald@.socket                       static          -
systemd-networkd.socket                        disabled        enabled
systemd-oomd.socket                            enabled         enabled
systemd-pcrextend.socket                       disabled        enabled
systemd-rfkill.socket                          static          -
systemd-sysext.socket                          disabled        enabled
systemd-udevd-control.socket                   static          -
systemd-udevd-kernel.socket                    static          -
uuidd.socket                                   enabled         enabled
swap.img.swap                                  generated       -
basic.target                                   static          -
blockdev@.target                               static          -
bluetooth.target                               static          -
boot-complete.target                           static          -
cloud-config.target                            static          -
cloud-init.target                              static          -
cryptsetup-pre.target                          static          -
cryptsetup.target                              static          -
ctrl-alt-del.target                            alias           -
default.target                                 alias           -
emergency.target                               static          -
exit.target                                    disabled        disabled
factory-reset.target                           static          -
final.target                                   static          -
first-boot-complete.target                     static          -
friendly-recovery.target                       static          -
getty-pre.target                               static          -
getty.target                                   static          -
graphical.target                               static          -
halt.target                                    disabled        disabled
hibernate.target                               static          -
hybrid-sleep.target                            static          -
initrd-fs.target                               static          -
initrd-root-device.target                      static          -
initrd-root-fs.target                          static          -
initrd-switch-root.target                      static          -
initrd-usr-fs.target                           static          -
initrd.target                                  static          -
integritysetup-pre.target                      static          -
integritysetup.target                          static          -
kexec.target                                   disabled        disabled
local-fs-pre.target                            static          -
local-fs.target                                static          -
multi-user.target                              static          -
network-online.target                          static          -
network-pre.target                             static          -
network.target                                 static          -
nss-lookup.target                              static          -
nss-user-lookup.target                         static          -
paths.target                                   static          -
poweroff.target                                disabled        disabled
printer.target                                 static          -
reboot.target                                  disabled        enabled
remote-cryptsetup.target                       disabled        enabled
remote-fs-pre.target                           static          -
remote-fs.target                               enabled         enabled
remote-veritysetup.target                      disabled        enabled
rescue.target                                  static          -
rpcbind.target                                 static          -
runlevel0.target                               alias           -
runlevel1.target                               alias           -
runlevel2.target                               alias           -
runlevel3.target                               alias           -
runlevel4.target                               alias           -
runlevel5.target                               alias           -
runlevel6.target                               alias           -
shutdown.target                                static          -
sigpwr.target                                  static          -
sleep.target                                   static          -
slices.target                                  static          -
smartcard.target                               static          -
snapd.mounts-pre.target                        static          -
snapd.mounts.target                            static          -
sockets.target                                 static          -
soft-reboot.target                             static          -
sound.target                                   static          -
storage-target-mode.target                     static          -
suspend-then-hibernate.target                  static          -
suspend.target                                 static          -
swap.target                                    static          -
sysinit.target                                 static          -
system-update-pre.target                       static          -
system-update.target                           static          -
time-set.target                                static          -
time-sync.target                               static          -
timers.target                                  static          -
umount.target                                  static          -
usb-gadget.target                              static          -
veritysetup-pre.target                         static          -
veritysetup.target                             static          -
anacron.timer                                  enabled         enabled
apport-autoreport.timer                        enabled         enabled
apt-daily-upgrade.timer                        enabled         enabled
apt-daily.timer                                enabled         enabled
dpkg-db-backup.timer                           enabled         enabled
e2scrub_all.timer                              enabled         enabled
fstrim.timer                                   enabled         enabled
fwupd-refresh.timer                            enabled         enabled
logrotate.timer                                enabled         enabled
man-db.timer                                   enabled         enabled
motd-news.timer                                enabled         enabled
phpsessionclean.timer                          enabled         enabled
snapd.snap-repair.timer                        enabled         enabled
sysstat-collect.timer                          enabled         enabled
sysstat-summary.timer                          enabled         enabled
systemd-sysupdate-reboot.timer                 disabled        enabled
systemd-sysupdate.timer                        disabled        enabled
systemd-tmpfiles-clean.timer                   static          -
ua-timer.timer                                 enabled         enabled
update-notifier-download.timer                 enabled         enabled
update-notifier-motd.timer                     enabled         enabled

445 unit files listed.
